comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,loss
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
1,0,1,1,2,5.998867947499759,0.0011128860242475488,6.919527465656622,0.006027969465187409,2.501579533811966,0.010580306844476053,1.6821569766996152,50.0,2000000000.0,0.001,0.15910782343003638,0.01957062202104177,0.12997684803827642,0.08438787750559917,50663.850008639,0.008446990512982599,0.9544742377934868,0.008352320107970993,0.08438787750559917
