# [Fe/H] Normalized_Count
-2.0000 1.737580e-07
-1.9500 3.735026e-07
-1.9000 7.874939e-07
-1.8500 1.635959e-06
-1.8000 3.367105e-06
-1.7500 6.906315e-06
-1.7000 1.418882e-05
-1.6500 2.928109e-05
-1.6000 6.066407e-05
-1.5500 1.256603e-04
-1.5000 2.584981e-04
-1.4500 7.752266e-04
-1.4000 1.339793e-03
-1.3500 2.410198e-03
-1.3000 4.277188e-03
-1.2500 7.204896e-03
-1.2000 1.209443e-02
-1.1500 1.974841e-02
-1.1000 3.336842e-02
-1.0500 5.260453e-02
-1.0000 8.010982e-02
-0.9500 1.119217e-01
-0.9000 1.467121e-01
-0.8500 1.879769e-01
-0.8000 2.305807e-01
-0.7500 2.735347e-01
-0.7000 3.134335e-01
-0.6500 3.492990e-01
-0.6000 3.878529e-01
-0.5500 4.266939e-01
-0.5000 4.693724e-01
-0.4500 5.213374e-01
-0.4000 5.757285e-01
-0.3500 6.293786e-01
-0.3000 6.888370e-01
-0.2500 7.498357e-01
-0.2000 8.063935e-01
-0.1500 8.303786e-01
-0.1000 8.253447e-01
-0.0500 8.092298e-01
0.0000 7.939230e-01
0.0500 7.970538e-01
0.1000 8.473693e-01
0.1500 9.368203e-01
0.2000 1.040217e+00
0.2500 1.122062e+00
0.3000 1.142849e+00
0.3500 1.043004e+00
0.4000 8.696321e-01
0.4500 6.585217e-01
0.5000 4.528765e-01
0.5500 2.866411e-01
0.6000 1.750128e-01
0.6500 1.099753e-01
0.7000 7.339609e-02
0.7500 4.710485e-02
0.8000 2.780063e-02
0.8500 1.512143e-02
0.9000 8.026366e-03
0.9500 3.090411e-03
1.0000 1.227045e-03
